cate,cls,avg_DP,med_DP,mn_DP,mx_DP,stddev_DP,avg_DT,med_DT,mn_DT,mx_DT,stddev_DT,pct
Read,Read/Write,647.456861273448,645.678665399551,595.899973869324,724.463186979294,28.2344101302145,375.173565705617,378.261956572533,354.162143945694,397.220546960831,14.8673093703222,0.725752879352592
Write,Read/Write,1491.3451370875,1485.50481593609,1408.25918197632,1587.78043699265,47.0466503815926,28.1561812400818,27.8204264640808,26.3600571155548,31.7705380916595,1.40116691482221,51.9668822760843
Lubridate,Date Processing,16.3483429670334,15.1582275629044,14.040296792984,25.7512099742889,3.2847508450317,15.9691496690114,13.8308255672455,12.6685650348663,23.0969409942627,3.55299668191204,0.0237453656507325
as.POSIXct,Date Processing,36.7189831177394,35.6125699281693,34.7016780376434,41.3814039230347,2.2257155794719,36.0053106307983,34.8614364862442,34.2990589141846,43.3859889507294,2.64209443921555,0.019821311757565
Paste + Lubridate,Date Processing,47.3793190002441,45.3720586299896,43.135507106781,53.8173189163208,3.88375063396757,37.6545658270518,36.094769358635,32.3237080574036,45.863098859787,3.84344166521169,0.258262257434021
Paste + as.POSIXct,Date Processing,66.5484023094177,65.5479594469071,61.7657260894776,74.6884431838989,3.37523600222636,61.4981427907944,59.7909895181656,56.8268749713898,70.9031898975372,4.32453181486024,0.0821205208717184
String 1,String Processing,11.7176288366318,11.4698590040207,11.2182450294495,12.8655650615692,0.505556440755135,10.2549444675446,10.2398294210434,9.96167993545532,10.6702868938446,0.169563065699876,0.142632110170504
String 2,String Processing,71.7383141756058,71.4233615398407,66.9797928333283,85.3830180168152,3.89154087305379,60.6572707335154,58.1444774866104,56.5726730823517,66.5197079181671,3.98933841111552,0.182682855791065
Join - Text Key,Joining,39.3748424291611,38.3154780864716,15.3410098552704,135.970389127731,19.1238685436825,42.3736704667409,33.5208079814911,18.4211709499359,113.22806596756,25.0069580364816,-0.0707710237170423
Join - Numeric Key,Joining,36.3587367852529,38.9361624717712,14.3482990264893,42.3316390514374,7.13971304166126,35.545170990626,24.9208815097809,16.4611990451813,67.6510338783264,18.9351861195998,0.0228882228430248
Join - Merge - Numeric Key,Joining,36.3587367852529,38.9361624717712,14.3482990264893,42.3316390514374,7.13971304166126,23.6183144410451,14.6233229637146,9.23776292800903,49.7851409912109,14.9226109117159,0.539429787676414
Join - Merge - Text Key,Joining,39.3748424291611,38.3154780864716,15.3410098552704,135.970389127731,19.1238685436825,28.9766844272614,24.6100316047668,15.6509349346161,46.1152358055115,9.22103275172766,0.358845679118385
Simple Aggregation,Aggregation,3.59463606675466,2.80843198299408,2.66534900665283,7.23042821884155,1.5431385717087,0.934505780537923,0.930716991424561,0.853339910507202,1.02017498016357,0.0344430681552558,2.84656375767467
Complex Aggregation,Aggregation,16.8141034046809,14.0738999843597,11.8937549591064,29.8285350799561,5.07773428270127,2.96580309867859,2.70363557338715,2.51309204101563,9.39765596389771,1.22800069384287,4.66932559082307
summarize_at() Aggregation,Aggregation,66.0144191582998,66.6947245597839,57.7696080207825,74.7894730567932,3.7459083436515,48.3786856651306,48.8593934774399,42.9742510318756,55.2184638977051,3.47848134797962,0.364535192527569
